Age,QB,RB,WR,TE
21,0.9332035388321982,0.8323646266109612,0.7952376396039152,0.7465624020727009
22,0.9502634926955608,0.9003924975897295,0.8574410577235757,0.8092186485752976
23,0.964817579136269,0.951007683480828,0.9084139326217769,0.8630244531459841
24,0.9768657981543232,0.9842101842842514,0.9481562642985201,0.9079798157847618
25,0.9864081497497236,1.0,0.9766680527538046,0.9440847364916293
26,0.9934446339224697,0.9983771306280776,0.9939492979876304,0.9713392152665864
27,0.997975250672562,0.9793415761684794,1.0,0.9897432521096341
28,1.0,0.9428933366212092,0.9948201587909091,0.9992968470207714
29,0.9995188819047841,0.8890324119862641,0.9784097743603608,1.0
30,0.996531896386914,0.8177588022636472,0.9507688467083549,0.9918527110473191
31,0.9910390434463902,0.7290725074533552,0.91189737583489,0.9748549801627271
32,0.9830403230832119,0.6229735275553914,0.8617953617399656,0.9490068073462263
33,0.9725357352973795,0.4994618625697546,0.8004628044235833,0.9143081925978161
34,0.9595252800888935,0.35853751249644195,0.7278997038857429,0.870759135917494
35,0.9440089574577532,0.20020047733545737,0.6441060601264456,0.818359637305264
36,0.925986767403959,0.024450757086798863,0.5490818731456878,0.7571096967611244
37,0.9054587099275108,-0.16871164824953355,0.4428271429434732,0.6870093142850737
38,0.8824247850284078,-0.3792867386735399,0.32534186951980054,0.6080584898771143
39,0.8568849927066515,-0.6072745141852182,0.19662605287466742,0.5202572235372455
